"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","709","Client App Login test","webkit","Thu Sep 12 23:23:23 IST 2024","failed","Thu Sep 12 23:23:24 IST 2024","","API_Testing\PlacingAnOrderUsingApi.spec.js","",""
"","4471","JavaScript Popup","chromium","Thu Sep 12 23:22:21 IST 2024","passed","Thu Sep 12 23:22:25 IST 2024","","java\JavaScriptPopup.spec.js","",""
"","10078","@web Client App Login test","firefox","Thu Sep 12 23:23:02 IST 2024","passed","Thu Sep 12 23:23:12 IST 2024","","Basics\PurchasePracessAutomation.spec.js","",""
"","10957","@web Client App Login test","webkit","Thu Sep 12 23:23:26 IST 2024","passed","Thu Sep 12 23:23:37 IST 2024","","Basics\PurchasePracessAutomation.spec.js","",""
"","51461","@api Client App Login test","webkit","Thu Sep 12 23:23:26 IST 2024","broken","Thu Sep 12 23:24:17 IST 2024","","API_Testing\WebAPI_part1.spec.js","",""
"","51305","@api Client App Login test","chromium","Thu Sep 12 23:22:07 IST 2024","broken","Thu Sep 12 23:22:58 IST 2024","","API_Testing\WebAPI_part1.spec.js","",""
"","1169","Client App Login test","chromium","Thu Sep 12 23:22:07 IST 2024","failed","Thu Sep 12 23:22:08 IST 2024","","API_Testing\PlacingAnOrderUsingApi.spec.js","",""
"","9645","@web Client App Login test","chromium","Thu Sep 12 23:22:10 IST 2024","passed","Thu Sep 12 23:22:20 IST 2024","","Basics\PurchasePracessAutomation.spec.js","",""
"","4149","JavaScript Popup","webkit","Thu Sep 12 23:23:38 IST 2024","passed","Thu Sep 12 23:23:43 IST 2024","","java\JavaScriptPopup.spec.js","",""
"","6669","JavaScript Popup","firefox","Thu Sep 12 23:23:13 IST 2024","passed","Thu Sep 12 23:23:20 IST 2024","","java\JavaScriptPopup.spec.js","",""
"","674","Client App Login test","firefox","Thu Sep 12 23:22:27 IST 2024","failed","Thu Sep 12 23:22:28 IST 2024","","API_Testing\PlacingAnOrderUsingApi.spec.js","",""
"","51284","@api Client App Login test","firefox","Thu Sep 12 23:22:31 IST 2024","broken","Thu Sep 12 23:23:22 IST 2024","","API_Testing\WebAPI_part1.spec.js","",""
